,AMIE,Nombre_Institucion,Codigo_Provincia,Provincia,Codigo_Canton,Canton,Codigo_Parroquia,Parroquia,Zona_Administrativa,Denominacion_Distrito,Codigo_Distrito,Codigo_Circuito_Educativo,Unidad_Administrativa_Circuital,Casos_excepcionales,Sostenimiento,Regimen_Escolar,Jurisdiccion,Tipo_de_Educacion,Modalidad,Jornada,Nivel,Etnia,Nacionalidad,Pueblo,Georeferencia,Institucion_responsable,Tipo_Acceso,Numero_de_estudiantes,Numero_de_docentes,Estado
10,07H00400,CIUDAD DE ARENILLAS,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,465,15,Activa
11,07H00401,ALBERT EINSTEIN,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Particular,COSTA,Hispana,Educación regular,Presencial,Matutina,Inicial y Educacción Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,138,14,Activa
12,07H00403,SANTO TOMAS DE AQUINO,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Particular,COSTA,Hispana,Educación regular,Presencial,Matutina y Vespertina,Educación Básica y Bachillerato,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,229,20,Activa
13,07H00409,9 DE OCTUBRE,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,23,2,Activa
14,07H00411,ARENILLAS,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina y Nocturna,Educación Básica y Bachillerato,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,1396,55,Activa
15,07H00413,BATALLON DE INFANTERIA N 38 AMBATO,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,21,1,Activa
16,07H00415,18 DE NOVIEMBRE,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Inicial y Educacción Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,158,11,Activa
17,07H00416,JUAN MONTALVO,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,407,20,Activa
18,07H00417,CIUDAD DE QUITO,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,336,18,Activa
19,07H00418,ARISTIDES CORDOVA VILLACIS,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,41,5,Activa
20,07H00420,UNION Y  PROGRESO,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,4,1,Activa
21,07H00422,CRNL FELIX HUMBERTO PINEDA CORREA,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,109,6,Activa
22,07H00428,MONS LEONIDAS PROAÑO VILLALBA,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,151,6,Activa
23,07H00431,NAPOLEON PALADINES CARREÑO,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,45,5,Activa
24,07H00432,MAYOR HECTOR ESPINOZA,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,47,5,Activa
25,07H00436,CONSTITUCION,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,141,8,Activa
26,07H00437,ING. RAFAEL GUERRERO,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,12,2,Activa
27,07H00410,DR CAMILO GALLEGOS DOMINGUEZ,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C01_02,SI,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina y Vespertina,Educación Básica y Bachillerato,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,613,30,Activa
28,07H01424,TAHUIN CHICO,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Popular Permanente,Presencial,Vespertina,Educación Básica,Mestiza,No aplica,No Aplica,NO,0.0,Terrestre,11,1,Activa
29,07H00445,5 DE JUNIO,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,14,2,Activa
30,07H00440,RUMIÑAHUI,7,EL ORO,702,ARENILLAS,70251,CHACRAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica y Bachillerato,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,120,12,Activa
31,07H00441,SOLDADO JOSE DIAZ,7,EL ORO,702,ARENILLAS,70251,CHACRAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,187,10,Activa
32,07H00442,SIMON BOLIVAR,7,EL ORO,702,ARENILLAS,70251,CHACRAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,46,3,Activa
33,07H00456,JOSE MARIA MEJIA LEQUERICA,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Inicial y Educacción Básica,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,315,18,Activa
34,07H00458,MAYOR GALO MOLINA,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,63,4,Activa
35,07H00462,MAYOR  MANUEL ANTONIO ROSERO,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,46,3,Activa
36,07H00464,ZOILA ESPERANZA CRESPO,7,EL ORO,702,ARENILLAS,70255,CARCABON,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,29,4,Activa
37,07H00466,JESUS MARIA YEPEZ,7,EL ORO,702,ARENILLAS,70255,CARCABON,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,48,5,Activa
38,07H00467,TENIENTE HUGO ORTIZ,7,EL ORO,702,ARENILLAS,70255,CARCABON,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,3.0,Terrestre,11,1,Activa
39,07H00430,VICENTE ROCAFUERTE,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,14,1,Activa
40,07H00446,PROF  ROBERTO CORREA SANCHEZ,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,7,1,Activa
41,07H00447,CORDILLERA DEL CONDOR,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,8,1,Activa
42,07H00448,9 DE OCTUBRE,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,15,2,Activa
43,07H00450,PALMALES,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,15,2,Activa
44,07H00452,CABO LUIS MINACHO PADILLA,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,11,2,Activa
45,07H00453,RIO ARENILLAS,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,21,3,Activa
46,07H00455,VICENTE ANDA AGUIRRE,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,8,1,Activa
47,07H00457,JOSE MIGUEL ALVAREZ,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,7,1,Activa
48,07H00459,24 DE MAYO,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,24,3,Activa
49,07H00451,ABDON CALDERON MUÑOZ,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,SI,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica y Bachillerato,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,215,17,Activa
50,07H00423,ELOY ALFARO,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,1.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,24,3,Activa
51,07H00425,CARLOS VELASCO DURAN,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,1.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,12,1,Activa
52,07H00426,REMIGIO CRESPO TORAL,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,1.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,6,1,Activa
53,07H00449,24 DE AGOSTO,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,1.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,9,1,Activa
54,07H00454,AURELIO SOLIS,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,1.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,14,1,Activa
55,07H00461,JHON CESAR CHERREZ,7,EL ORO,702,ARENILLAS,70254,PALMALES,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,07D05C03_04,,1.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,SI,6.0,Terrestre,10,1,Activa
56,07H00399,SOC LEONOR ROLDAN DE TINOCO,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,,,,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Inicial,Mestiza,No aplica,No Aplica,,,Terrestre,17,1,Activa
57,07H00414,MARIA PIEDAD CASTILLO DE LEVI,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,,,,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,,,Terrestre,526,23,Activa
58,07H00421,PRIMERO DE JUNIO,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,,,,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Inicial,Mestiza,No aplica,No Aplica,,,Terrestre,86,5,Activa
59,07H00434,LAS AMERICAS,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,,,,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Inicial,Mestiza,No aplica,No Aplica,,,Terrestre,39,2,Activa
60,07H01480,EUGENIO  ESPEJO     -  EXTENSIÓN,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,,,,Fiscal,COSTA,Hispana,Popular Permanente,A Distancia,Matutina,"Educación Básica, Bachillerato y Artesanal P.P.",Mestiza,,,,,Terrestre,273,10,Activa
61,07H01488,CIUDADELA LA LIBERTAD,7,EL ORO,702,ARENILLAS,70250,ARENILLAS,Zona 7,ARENILLAS – LAS LAJAS – HUAQUILLAS,07D05,,,,Fiscal,COSTA,Hispana,Popular Permanente,Presencial,Nocturna,Educación Básica,Mestiza,,,,,Terrestre,11,1,Activa
62,07H00469,REPUBLICA DE ARGENTINA,7,EL ORO,703,ATAHUALPA,70350,PACCHA,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Inicial y Educacción Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,31,4,Activa
63,07H00471,JUAN LEON MERA,7,EL ORO,703,ATAHUALPA,70350,PACCHA,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Inicial y Educacción Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,106,11,Activa
64,07H00473,DAVID GUZMAN,7,EL ORO,703,ATAHUALPA,70350,PACCHA,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,7,3,Activa
65,07H00475,13 DE JULIO,7,EL ORO,703,ATAHUALPA,70350,PACCHA,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Inicial y Educacción Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,171,12,Activa
66,07H00476,GASTON FIGUEIRA,7,EL ORO,703,ATAHUALPA,70350,PACCHA,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,5,1,Activa
67,07H00478,CELIA LUCIA PONTON MATAMOROS,7,EL ORO,703,ATAHUALPA,70351,AYAPAMBA,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,24,3,Activa
68,07H00480,DIEZ DE AGOSTO,7,EL ORO,703,ATAHUALPA,70351,AYAPAMBA,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,41,5,Activa
69,07H00481,AMAZONAS,7,EL ORO,703,ATAHUALPA,70351,AYAPAMBA,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,11,2,Activa
70,07H00482,MERCEDES  MOROCHO,7,EL ORO,703,ATAHUALPA,70351,AYAPAMBA,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,16,3,Activa
71,07H00485,AYAPAMBA,7,EL ORO,703,ATAHUALPA,70351,AYAPAMBA,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica y Bachillerato,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,111,13,Activa
72,07H00488,REPUBLICA DE MEXICO,7,EL ORO,703,ATAHUALPA,70352,CORDONCILLO,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,147,18,Activa
73,07H00491,BLANCA LIDIA ORDOÑEZ VASQUEZ,7,EL ORO,703,ATAHUALPA,70352,CORDONCILLO,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,18,3,Activa
74,07H00493,ATAHUALPA,7,EL ORO,703,ATAHUALPA,70353,MILAGRO,Zona 7,ZARUMA – PORTOVELO – ATAHUALPA,07D03,07D03C01_02,,0.0,Fiscal,COSTA,Hispana,Educación regular,Presencial,Matutina,Educación Básica,Mestiza,No aplica,No Aplica,NO,1.0,Terrestre,13,2,Activa
